Product Name,Current Price,Old Price,Discount,Rating,Image URL,Mall Store
"Vision Plus Vibe Pods Bluetooth Ear Buds Vibe Series - Black, (2YRs WRTY)","KSh 1,765","KSh 2,995",41%,4.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 519,KSh 999,48%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,KSh 826,40%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,KSh 999,"KSh 1,561",36%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple Pro2+ Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 599,KSh 754,21%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Stereo F9 Bluetooth Earphone  Power Headset,KSh 550,KSh 932,41%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Tecno Spark 20,6.6"",4+128GB 50MP Camera,5000mAh,Gravity Black (1YR WRTY)","KSh 14,799","KSh 25,999",43%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Infinix Smart 8, 6.6"", 64GB + 3GB RAM, 5000mAh, 4G, DUAL SIM - Timber Black","KSh 10,109","KSh 14,999",33%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,KSh 600,"KSh 1,000",40%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Timack F9 Bluetooth Earphone Mini True Wireless Stereo Earbuds With LED Digital Display,KSh 344,KSh 674,49%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
